Title,ID,Created Date,Updated Date,Owner,VASP Name,Required Document,Service Method,Compliance Email,Legal Address,Compliance Portal,Last Updated,Notes,Phone Number
NiceX,1df6d684-460c-4fe2-bbeb-250672fd806c,2024-02-02T20:39:16Z,2024-10-08T20:01:21Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,NiceX LTD,Unknown,Email,legal@nicexltd.com,"House of Francis, Room 303, Ile Du Port, Mahe, Seychelles, Company No.: 329805",https://www.nicehash.com/law-enforcement-request,,"<p class=""font_8"">Connected with Nicehash</p>
<p class=""font_8"">""we are fully cooperative with all law enforcement agencies, but the disclosure of personal user data (when applicable) and traffic information for a specific NiceHash account is only possible with a Court order within the scope of mutual legal assistance. If you need such information please note that the Court order should be addressed to the data custodian which is <strong>H-BIT d.o.o., Maribor, Radvanjska cesta 128, Slovenia</strong>.""</p>",
Remitano,1e0a058b-f7d7-46bd-80f5-76b03eb6c8cc,2023-11-23T13:41:00Z,2023-11-23T13:42:41Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Babylon Solutions Ltd. d/b/a Remitano.com,Letterhead,Email,support@remitano.com or team@remitano.com,"Unknown
Domiciled in Seychelles",http://NA,,"<p class=""font_8"">NA</p>",NA
National Bitcoin ATM,1e8be1ca-3f00-4afc-b111-303d0ad7ad7f,2023-11-23T13:03:55Z,2023-11-23T13:06:17Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Westcliff Technologies INC.,Subpoena,Email,compliance@westclifftech.com,"Westcliff Technologies INC.
Attn: Legal Compliance
237 A Street #10101
San Diego, CA 92101",http://NA,,"<p class=""font_8"">NA</p>",NA
Coinbase Inc.,1ffcab95-f3b2-4684-b8de-5502a27b8eb7,2023-11-23T00:35:08Z,2023-11-23T04:16:39Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"Coinbase, Inc.",Subpoena,Kodex Portal,subpoenas@coinbase.com or global.investigations@coinbase.com,"Coinbase 
248 3rd St, #434
Oakland, CA 94607",http://app.kodexglobal.com,11/22/2023,,NA
Blockfills,20d047a6-3752-434d-87ba-71074a2894b6,2024-02-18T12:09:22Z,2024-02-18T12:12:47Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,,Letterhead,email,compliance@blockfills.com,,,,"<p class=""font_8"">OTC provider</p>",
Bitfinex,20fd1cb8-0d2e-429b-9947-eb7ee8b02c4c,2023-11-23T01:12:24Z,2023-11-23T04:17:03Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,iFinex Inc.,Subpoena or Letterhead Jurisdictionally dependent,Email,inforequests@bitfinex.com,Unknown,http://NA,11/22/2023,"Bitfinex (meaning iFinex Inc., BFXWW Inc., BFXNA Inc., Unus Sed Leo Limited, iFinex Financial Technologies Limited, Bitfinex Securities Ltd., as applicable) receives requests about its customers from law enforcement agencies around the worldWhen such requests are received, Bitfinex requires that it be accompanied by appropriate legal process. This can vary from place to place. For example, production orders, search warrants, freezing orders, seizure orders and subpoenas, but also requests for voluntary disclosure of data may all amount to legal process."",
          ",NA
Stake.com,21b76f5d-e5dc-42e7-8d0a-5d79a93e8d85,2023-11-28T20:38:27Z,2023-11-28T20:40:11Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Stake.com,Subpoena,Email,compliance@stake.com,Unknown,http://NA,,"<p class=""font_8"">NA</p>",NA
Stripe,255416f0-65f2-4e4d-b285-b873eadd10be,2023-11-23T13:55:25Z,2023-11-23T13:57:24Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Stripe Inc.,Subpoena,Email,LERequests@Stripe.com,"Stripe, Inc.
Attn: Legal Dept.
354 Oyster Point Blvd
San Francisco, CA 94080",http://NA,,"<p class=""font_8"">Traditional payment services provider with crypto on and offramp integrations</p>",NA
Shakepay,25c100c6-cbdf-4e7d-9ca0-37e7949a354a,2024-01-30T15:41:10Z,2024-01-30T15:43:51Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Shakepay Inc.,Subpoena,Email,enforcement@shakepay.com,,,,"<p class=""font_8"">Will not verify customer wallet addresses without legal order or customer consent. You can submit legal order or send letterhead which they will use to obtain consent from their customer to share information.&nbsp;</p>",
Blockchain.com,29c0aa4a-1dd4-4927-bd49-9fccf5379db5,2023-11-23T01:38:26Z,2023-11-23T04:15:45Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Blockchain.com Inc.,Subpoena,Email,lawenforcement@blockchain.com,"Blockchain.com Inc.
1450 Brickell Ave Ste 2780
Miami, FL 33131",https://www.blockchain.com/legal/law,11/22/2023,,NA
Coinhub,2a11e36f-c67a-4e65-bfb8-3df4fef1ef27,2023-11-23T02:15:58Z,2023-11-23T04:15:23Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,LSGT Services LLC d/b/a Coinhub,Subpoena,Email or Postal,compliance@coinhubatm.com,"LSGT Services LLC d/b/a Coinhub
3430 E Russell Rd #330
Las Vegas, NV 89120",http://NA,11/22/2023,,NA
Circle.com,2c071183-2ce4-4591-a36e-d9d531890958,2023-11-23T02:01:30Z,2023-11-23T04:15:30Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"Circle Internet Financial, Inc d/b/a Circle.com",Subpoena,Email,subpoenas@circle.com,"Circle Internet Financial, Inc d/b/a Circle.com
99 High St, Level 17, STE 1701
Boston, MA 02110",http://NA,11/22/2023,"If your investigation relates to a SAR that was filed by Circle, then you can request the supporting documentation for the SAR by emailing the reference ",NA
Robinhood (All Entities),2f722ba5-1fc4-46fa-aec1-d7062e609f37,2023-11-23T13:43:28Z,2023-11-23T13:48:40Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"Robinhood Markets, Inc.",Subpoena,Email or Postal,LERequests@robinhood.com ,"Robinhood Markets Inc. 
C/O Incorporating Services, Ltd.
3500 South DuPont Hwy
Dover, DE 19901",http://NA,,"<p class=""font_8"">sop@robinhood.com (General questions)</p>",NA
Change Hero (Houdini),30c561e5-e618-4410-8c3f-28364ee91656,2025-04-23T19:04:02Z,2025-05-07T12:55:51Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Change Hero,Letterhead,,legal@changehero.io ,,,,"<p class=""font_8"">Binance Hosted API &nbsp;Swapping Service</p>
<p class=""font_8"">0x1947b53ad28c9962cbb3ee76d72bcfe612a2c836</p>
<p class=""font_8""><br></p>
<p class=""font_8""><em>Competent authority shall be understood as a party that is officially empowered to exercise or perform functions or duties of filing requests for obtaining information or investigation conduction. ChangeHero can provide the necessary information to competent authorities only against the presentation of a legitimate official request, made on a legal basis and sent in accordance to the Terms.</em></p>
<p class=""font_8""><em>The information request shall be made only in English and include an email address that is associated with the competent authority in question. The email address has to be official and valid, otherwise the Service will not be able to provide a response. Should the request be non-compliant to law, ChangeHero reserves the right to ignore it. For streamlining purposes, ChangeHero recommends to direct the official requests towards the following email address: </em><a href=""mailto:legal@changehero.io""><em>legal@changehero.io</em></a></p>
<p class=""font_8""><em>The inquiry processing usually requires up to five (5) business days. In some cases that require special attention, the processing may take a longer period of time.</em></p>
<p class=""font_8""><em>A request from a competent authority has to include the following information:</em></p>
<ol class=""font_8"">
  <li><p class=""font_8""><em>Complete and accurate information about the competent authority requesting the information;</em></p></li>
  <li><p class=""font_8""><em>Inquirer’s full name and identification;</em></p></li>
  <li><p class=""font_8""><em>Official and valid email and postal address, as well as a contact phone number of the competent authority;</em></p></li>
  <li><p class=""font_8""><em>Clear and precise description of the kind of information which is being requested by the competent authority.</em></p></li>
</ol>",
Trocador,31334af1-eb41-499c-9812-87672e4e6492,2025-04-25T13:28:47Z,2025-04-25T13:31:41Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Trocador,Letter head,,mail@trocador.app,,,,"<p class=""font_8"">Note that Trocador <u><em><strong>only performs the service of aggregating instant exchanges (we work as a referral business only),</strong></em></u> we don't receive, process or even have access to users' funds at any point during the process. The transactions are entirely handled by the exchange provider the users choose. On these instant exchanges the user doesn't always have to create a user account, but they do leave a trail of information regarding their device and connection.</p>
<p class=""font_8"">To clarify how Trocador operates:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">The user inputs which &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;cryptocurrencies and amounts they wish to swap/exchange;</p></li>
  <li><p class=""font_8"">We search for the rates the listed &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;exchanges would offer for that trade and present that information to the &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;user;</p></li>
  <li><p class=""font_8"">The user selects which exchange &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;they want to use and inputs the <strong>receiving address</strong> they want the &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;provider to send the funds to after the swap;</p></li>
  <li><p class=""font_8"">The trade is generated <u><em><strong>by &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;the exchange provider on their server</strong></em></u></p></li>
  <li><p class=""font_8"">We collect the information about &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;the generated trade with the provider and display this information to the &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;user;</p></li>
  <li><p class=""font_8"">The user transfers their funds to &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;the chosen provider's<strong> deposit address</strong>, At this stage, <u><em><strong>the &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;exchange provider is expected to perform AML checks on the funds</strong></em></u>, &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;or follow other specific compliance requirements. If the funds are deemed &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;safe, the exchange provider swaps them and sends it to the user's &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;receiving address;</p></li>
  <li><p class=""font_8"">We reiterate that the customer's &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;counterparty is always the chosen provider, as stated in our Terms of &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Service.</p></li>
  <li><p class=""font_8"">If the user fails to deposit the &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;funds to the provider's deposit address before a given deadline (specific &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;to each provider), the transaction's status will be listed as<strong> Expired &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;or Waiting</strong>. These transactions were initiated, but never completed, so &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;no associated deposit should be expected in the User's receiving address. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Sometimes halted transactions (due to failed AML assessments on the part &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;of the provider) might also be listed as waiting or expired;</p></li>
</ul>
<p class=""font_8"">As the transaction is executed entirely by the exchange provider, any account registration or KYC requirements would be handled by them, according to their compliance requirements. However, as mentioned, the user does leave a trail of information, which we store for cases like this, and in accordance to the providers requests.</p>
<p class=""font_8"">The information we have about the orders are (at the moment they chose the exchange provider):</p>
<ul class=""font_8"">
  <li><p class=""font_8"">IP from the device,</p></li>
  <li><p class=""font_8"">UserAgent,</p></li>
  <li><p class=""font_8"">AcceptLang,</p></li>
  <li><p class=""font_8"">User Browsing Session ID: used to uniquely &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;identify when an internet browser connects to our platform. This can be &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;used to more assertively tell when the same computer was used to make &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;multiple transactions before the browser history was erased, or a certain &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;time has passed. This can be ascertained when there are multiple &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;transactions sharing the same Browsing Session ID.</p></li>
</ul>",
OKcoin ,32fd1de6-8e4d-4058-915c-6a866bbc8eed,2023-11-23T13:07:32Z,2023-11-23T13:13:28Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,OKcoin USA Inc.,Subpoena,Email,lawenforcement_OKCoinUSA@okcoin.com,"OKcoin USA Inc.
One Sansome St., STE 3500
San Francisco, CA 94104",https://support.okcoin.com/hc/en-us/articles/360008812791-Law-Enforcement-Request-Guide,,"<p class=""font_8"">NA</p>",NA
Block Inc.,336e4c9c-6271-4c2d-8390-61645ec50a48,2023-11-23T01:34:17Z,2023-11-23T04:15:48Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"Block, Inc.",Subpoena,Portal,lawenforcement@squareup.com,"Block Inc.
1955 Broadway, STE 600
Oakland, CA 94612",https://squareup.com/us/en/legal/general/gov,11/22/2023,,NA
BTMmachines.com,37363514-5986-4ac5-bc7e-92f14e442caf,2023-11-23T01:55:01Z,2023-11-23T04:15:37Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,BitLay.com LLC d/b/a BTMmachines.com,Subpoena,Email,support@btmmachines.com,"BitLay.com LLC d/b/a BTMmachines.com
4025 Pleasantdale Rd
Atlanta, GA 30340",http://NA,11/22/2023,,NA
Busha Exchange,3a1cdaf4-d7eb-4118-a095-ee422592cd3c,2024-01-17T15:17:05Z,2024-01-17T15:18:54Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Busha Exchange,Letterhead,Email,compliance@Busha.co,Lagos Nigeria,,,,
Binance.US,3d918da6-2aa5-427a-988f-62b351e8955b,2023-11-23T01:02:12Z,2023-11-23T04:16:28Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"BAM Trading Services Inc., d/b/a Binance US",Subpoena,Email,lert@binance.us,"BAM Trading Services, Inc., d/b/a Binance US
252 NW 29th St
9th Floor, Ste 905
Miami, FL 33127",http://NA,11/22/2023,"{
  ""nodes"": [
    {
      ""type"": ""PARAGRAPH"",
      ""id"": ""foo"",
      ""nodes"": [
        {
          ""type"": ""TEXT"",
          ""id"": """",
          ""nodes"": [],
          ""textData"": {
            ""text"": ""Binance US is a seperate entity from "",
            ""decorations"": []
          }
        },
        {
          ""type"": ""TEXT"",
          ""id"": """",
          ""nodes"": [],
          ""textData"": {
            ""text"": ""Binance.com"",
            ""decorations"": [
              {
                ""type"": ""LINK"",
                ""linkData"": {
                  ""link"": {
                    ""url"": ""http://Binance.com"",
                    ""target"": ""SELF""
                  }
                }
              },
              {
                ""type"": ""UNDERLINE""
              }
            ]
          }
        },
        {
          ""type"": ""TEXT"",
          ""id"": """",
          ""nodes"": [],
          ""textData"": {
            ""text"": "". Binance US operates inside the US while "",
            ""decorations"": []
          }
        },
        {
          ""type"": ""TEXT"",
          ""id"": """",
          ""nodes"": [],
          ""textData"": {
            ""text"": ""Binance.com"",
            ""decorations"": [
              {
                ""type"": ""LINK"",
                ""linkData"": {
                  ""link"": {
                    ""url"": ""http://Binance.com"",           have dounts of which you need to serve check in on the Block Pro forum for assistance. "",
            ",NA
Fixedfloat,3d9bc44b-7db8-4206-9259-1077110ff278,2023-11-23T12:26:18Z,2023-11-23T12:28:59Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Fixedfloat,Letterhead,Email,info@fixedfloat.com,"Unknown
",,,"<p class=""font_8"">Is a private bridge. Will provide the outgoing transaction on the otherside of their bridge as well as IP data.</p>",
Coin Cloud Inc.,3ecbc35d-1878-4a29-9d70-aa60af4ee3a7,2023-11-23T02:06:39Z,2023-11-23T04:15:28Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Cash Cloud Inc. d/b/a Coin Cloud,Subpoena,Email,compliance@coin.cloud,"Cash Cloud Inc. d/b/a Coin Cloud
401 Ryland ST STE 200-A
Reno, NV 89502",http://NA,11/22/2023,,NA
Tether,40967be1-7c50-4a1f-999f-701ba5753cfc,2023-11-23T14:05:40Z,2023-11-23T14:14:44Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Tether Limited,Letterhead or Subpoena,Email, inforequests@tether.to,Unknown,https://tether.to/en/legal/#law-enforcement-requests,,"<p class=""font_8"">NA</p>",NA
Paxos,414ac857-1eb6-4011-ad4f-d80e9643aa21,2023-11-23T13:35:03Z,2023-11-23T13:38:12Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"Paxos Trust Company, LLC",Subpoena,Email,complianceus@paxos.com,"Paxos Trust Company, LLC
Attn: Subpoena Dept.
450 Lexington Ave #3952
New York, NY 10017",http://NA,,"<p class=""font_8"">NA</p>",NA
Kraken,42efbe08-47c8-44e6-be2b-5991aa4bd506,2023-11-23T12:44:34Z,2023-11-23T12:46:25Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Payward Ventures Inc d/b/a Kraken,Subpoena,Email,lawenforcement@kraken.com,"Payward Ventures Inc d/b/a Kraken
100 Pine Street Suite 1250-PMB A188
San Francisco, CA 94111",http://NA,,"<p class=""font_8"">NA</p>",NA
LetsExchange.io,4eaeda03-84da-4a25-9092-55536d893661,2025-02-26T21:39:09Z,2025-02-26T21:42:06Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Aura551 Ltd (DBA LetsExchange.io),Letterhead with ID,Email,Legal@letsexchange.io,,,,"<p class=""font_8"">Uses a Binance API to conduct P2P trades</p>",
Bitrefill,4ede40e5-1bd8-4be8-ad0e-027ce988c5c5,2025-02-05T21:34:55Z,2025-02-05T21:39:51Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Bitrefill (Airfill Prepaid AB),Subpoena,,legal@bitrefill.com,Sweden,,,"<p class=""font_8"">AIRFILL PREPAID AB, a limited company incorporated under the laws of Sweden and registration no. 559001-6035 (“<strong>Airfill”</strong>). Airfill is a data controller of the personal data collected through our websites <a href=""http://www.bitrefill.com/"">www.bitrefill.com</a>&nbsp;and <a href=""http://www.airfill.com/"">www.airfill.com</a>&nbsp;(“<strong>Websites</strong>”), or through our mobile application Bitrefill, available on Apple and Android app stores (“<strong>App</strong>”).</p>
<p class=""font_8""><br></p>
<p class=""font_8"">address the subpoenas to Airfill Prepaid AB at legal@bitrefill.com Per Btirefill's privacy policy: ""Your personal data will only be disclosed to law enforcement authorities, or other government bodies, to the extent required by laws and regulations. Bitrefill will not ordinarily share Customer personal data unless required to do so by an appropriate legal instrument (e.g. a subpoena, a warrant or the legal equivalent in the issuing country). Exceptional circumstances (such as a very urgent request that may save a human life, or avoid great harm) may determine a different reaction from our side, but only to the extent permitted by law."" Bitrefill will comply with the terms of orders in subpoena format and will abide by the included non-disclosure agreement. Source: https://www.bitrefill.com/terms/?hl=en The Bitrefill Group. T</p>",
BlockFi,508296c0-4c46-43ac-80a5-b0a995a31f5d,2023-11-23T01:51:36Z,2023-11-23T04:15:40Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,"BlockFi, Inc.",subpoena,Email,subpoenas@blockfi.com,"BlockFi, Inc.
201 Montgomery St, 2nd Floor, STE 263
Jersey City, NJ 07302",http://NA,11/22/2023,,NA
Coinmama,535f2462-6f33-4712-91f1-e5654ce8463d,2023-11-28T20:51:50Z,2024-02-06T14:13:44Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Coinmama,Letterhead,Email,compliance@coinmama.com,Unknown,http://NA,,"<p class=""font_8"">NA</p>",NA
BingX (Bingbon),54c728e8-3075-484c-a9ff-0a1bcdda0ba4,2024-08-06T14:59:33Z,2024-08-06T15:19:44Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,BingX (Bingbon),Letterhead,Email,compliance@bingx.com,"Suite 118, 252 Russell Street, Melbourne Vic, 3000, Australia",http://NA,,"<p class=""font_8"">From Bing X site:</p>
<p class=""font_8""><em>BingX maintains a stance of cooperation with law enforcement authorities globally and will not hesitate to seize, freeze, terminate the account and funds of Users which are flagged out or investigated by legal mandate.</em></p>
<p class=""font_8""><br></p>
<p class=""font_8"">BINGX GLOBAL PTY LTD is registered as a Digital Currency Exchange (DCE) provider under the Australian Transactions and Reports Analysis Centre (AUSTRAC). (Registration No.: 644804571; License No.: 100725677-001)</p>
<p class=""font_8"">BINGX EU UAB is a registered financial service company in Lithuania, a member of the European Union, and is recognized and regulated by the Financial Crime Investigation Service (FSIC) as a digital currency exchange. (Registration No.: 305995741, license no: 4400-1839-5132)</p>",
Bybit,54e09e56-79f2-40e1-9cd4-6e56a3c9e27a,2024-01-31T19:22:53Z,2025-02-03T21:35:49Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Bybit,Letterhead ,Portal,law_enforcement@bybit.com,Seychelles,https://www.bybit.com/en-US/help-center/s/webform,,"<p class=""font_8""><br></p>
<p class=""font_8"">Domiciled in Seychelles</p>
<p class=""font_8""><br></p>
<p class=""font_8"">ByBit will partially respond to LetterHead requests, but likely will not provide KYC (Only Transaction Information and Account ID), dependent on the country. Send requests to provided email.&nbsp;</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Will require court order to freeze assets for 1 year but will require MLAT to actually take assets.</p>",
Obiex,57ab0aff-a2b9-4170-82e4-c946c678e308,2024-04-12T16:07:37Z,2024-09-13T21:37:27Z,60e4fbd3-0f5c-4f36-86f9-b3d0d627be8f,Obiex Africa Ltd.,Unknown Cooperation,Email,compliance@obiex.finance,Based in Nigeria,,,"<p class=""font_8"">In line with our policy, we are able to respond to production orders issued by verified law enforcement authorities. This may include providing transaction records, KYC information of account holders, or offering other forms of assistance as permitted within the scope of our policy.</p>
<p class=""font_8""><br></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Nwamaka Ofili AML Manager</p>
<p class=""font_8""><br></p>",
